file_name,duration,rmse,zcr,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
0.wav,2.3700226757369616,0.051535763,0.3025020858616505,4225.504263811166,3280.5928044581533,-184.54776,27.172852,13.792548,11.524634,7.0024276,2.6055286,-0.90317446,-1.5326385,0.013974718,-0.93146646,-3.4148867,-5.0339055,-1.8312569
1.wav,2.84,0.056813106,0.28753017022357724,4051.1723884736352,3227.8954275054352,-182.33127,29.356142,11.8435755,13.675663,6.6088815,1.256751,-2.3434172,-2.4394026,-1.8726922,-0.025406629,-2.0965528,-5.9102187,-2.9639273
10.wav,3.0,0.054037217,0.11008864182692307,1404.7881679077566,1227.3088219893104,-342.35342,128.71779,-22.624067,38.87193,3.1193678,10.469593,-10.255085,-4.735155,-8.188131,6.0572734,-10.785835,-3.2689056,3.0096407
100.wav,3.28,0.05828803,0.08442451584507042,1230.8187130874437,1120.2415180319683,-370.7593,121.07528,-16.49116,42.88525,-9.652873,11.628745,3.3890083,-13.036887,1.0405562,-2.4763722,-3.4393947,-7.7305512,0.72866124
1000.wav,2.16,0.050519213,0.08768284574468085,1243.3196799336645,1049.7911203276567,-397.55063,93.62009,-12.646589,41.52285,-6.66353,4.292518,0.1998033,-5.78398,3.1050217,-3.6462934,-2.3144813,-7.693817,-1.897832
10000.wav,2.3900226757369616,0.050366055,0.08579054156553398,1214.0736313460177,1160.2115527802591,-402.56046,93.56781,-14.884893,46.43311,-1.0402863,5.6022177,-0.36271176,-5.6188154,5.763731,-1.8197439,-2.5417647,-8.734643,-1.1064384
10001.wav,3.0300226757369613,0.056457687,0.3236820133587786,3843.3472547162746,3082.6340937299506,-162.89429,47.002834,14.289166,7.849641,0.79970694,2.8858461,-1.053438,-3.4074297,-1.8331083,-3.4247313,-2.745804,-1.161521,-0.45886052
10002.wav,3.68,0.05748385,0.12329869300314465,1540.5441441994692,1316.1166428529687,-325.34357,129.9081,-30.348995,35.870037,-7.3243093,8.603198,-7.170976,-3.7875586,-8.80556,5.9766254,-8.528666,1.4964011,2.9989796
10003.wav,2.9500226757369616,0.050344944,0.11942291259765625,1612.8873965696935,1282.7907485883559,-353.94788,114.54008,-24.236681,35.88016,0.78480434,14.195779,-11.275744,-3.318714,-3.806303,6.6296678,-10.802046,-2.5663977,1.5629594
10004.wav,2.1700226757369614,0.052014675,0.2638952376994681,3529.306882658081,2898.905184395763,-236.29523,45.309814,5.19486,10.625397,3.6175032,-1.9869272,-2.076777,-1.6628661,1.6060772,0.40205988,-1.9774997,-2.6379552,-1.9673145
10005.wav,1.84,0.042658646,0.287518310546875,3379.7801892705625,2543.997802186994,-284.7748,68.49292,-4.211296,9.718325,4.0394936,2.8065434,-0.64453906,-4.935369,-3.920053,-1.5480336,-2.322676,0.89454854,2.0406246
10006.wav,3.0300226757369613,0.053735305,0.10053748210877862,1442.4407458763294,1240.8005282306015,-377.36862,104.63936,-21.90671,55.257973,-9.210507,4.1764092,-2.186477,-7.8085494,5.439578,-4.687245,-2.6275253,-8.68299,1.8897362
10007.wav,2.1900226757369614,0.05107773,0.3416683799342105,4159.021807225892,3106.6489444080426,-166.12978,34.04218,12.38821,12.475929,4.6407986,3.6616647,-2.7159948,-3.4268494,-1.0928402,-4.3909297,-2.9648616,0.84122443,-0.058141496
10008.wav,2.74,0.054006796,0.11639558167016807,1485.0966158367683,1207.0372165054307,-350.589,116.493515,-19.376812,35.663315,-9.1666565,7.5878005,-3.0349958,-2.921225,-5.856351,4.043516,-9.967255,-1.3325098,3.01373
10009.wav,5.8,0.06377428,0.103935546875,1405.0081986787782,1248.565146280134,-293.11237,149.74225,-25.776419,41.94159,-1.1063083,9.99242,-1.6470613,-5.8405194,-7.387564,4.6664796,-12.929778,-2.6383216,4.4674296
1001.wav,2.48,0.04683847,0.1070294246495327,1456.4794969662755,1255.325558399284,-367.9527,111.55035,-21.040504,35.803932,-6.268337,9.960027,-5.9798203,-2.2540834,-6.797314,5.517357,-8.67222,-1.7669758,1.439124
10010.wav,2.92,0.0542555,0.2870822482638889,3372.681511604504,2918.3682959259722,-194.1123,60.392357,13.314713,14.597289,5.579089,2.1299214,-2.714833,-4.7772136,-0.8382498,-1.4647064,-2.4365673,-0.036461193,-0.010310532
10011.wav,3.08,0.055223245,0.306148672462406,3652.2980350343687,3048.8161259765106,-172.50743,52.355316,15.94509,9.3871155,2.640504,5.194028,-0.83739215,-4.4901876,-2.5663435,-3.1410036,-3.800503,-2.0925395,0.16545582
10012.wav,2.2900226757369615,0.05424988,0.09006569602272728,1172.6702481491352,1082.9772228580864,-374.92224,136.70213,-24.644226,25.45182,-0.5430253,6.5068436,-1.6097187,-9.362836,-8.066885,3.6735594,-10.453492,-0.6357109,2.816037
10013.wav,2.34,0.047580898,0.12142732827970297,1565.827031106952,1174.0266839131991,-387.87946,98.774124,-23.541594,41.133335,-17.281067,10.680231,-1.9576256,-6.050299,5.047978,-4.832322,0.27587172,-12.091444,1.918427
10014.wav,2.58,0.04619031,0.09444318498883929,1341.8031735991387,1129.4541393351924,-395.29324,111.31929,-31.305939,42.50768,-16.345081,9.1612835,1.9906728,-10.580195,3.5742953,-0.4797056,2.8359761,-10.378291,0.5750252
10015.wav,2.5700226757369613,0.05825128,0.28195822775900903,3853.9657733997337,3112.212542711288,-199.52164,34.11306,15.904483,14.991993,1.8704759,2.3038883,0.79002815,-1.2622368,-1.6214354,-0.6910772,-1.9006463,-5.283416,-1.8312033
10016.wav,3.8100226757369615,0.06195907,0.2387310606060606,3516.0667872953004,3140.6997640651475,-198.14757,43.399143,13.705566,17.388397,11.262569,2.271484,-2.8891046,-3.540656,-0.090345025,0.27899835,-3.464468,-6.348519,-3.4851396
10017.wav,2.06,0.04729058,0.31067306004213485,3730.5381591244677,2897.842209770558,-215.55705,47.995705,9.967433,12.7468605,3.2150338,4.0881476,1.7228935,-4.3018684,-3.5496254,-0.91965157,-3.7630887,-2.0842938,-0.041372456
10018.wav,2.0900226757369613,0.046305552,0.09443144745879122,1322.2823587736316,1048.6826440637667,-411.41504,90.81744,-11.749332,38.890377,-12.340483,9.852952,3.4669485,-6.981463,0.7958756,-3.2252016,0.17290653,-10.831273,0.35817665
10019.wav,2.4100226757369616,0.053301938,0.29248046875,3485.8493940853978,2767.547689314653,-213.82608,51.279804,13.712407,20.44335,1.6296868,3.6190152,-0.9685374,-3.5809186,-0.7750626,-0.7534609,-4.380482,-2.6665015,0.1708946
1002.wav,2.2,0.046709925,0.33443153782894736,3947.0613016117713,3041.371226529291,-183.45686,39.93422,10.313411,13.963649,9.796462,4.993061,-6.0828714,-5.3402724,0.3169942,-2.2420037,-3.1033456,-2.8034573,-1.5943515
10020.wav,2.82,0.052156318,0.25490282402663933,3571.0579280609927,3009.197590992692,-221.87318,42.732502,11.378804,14.5654955,3.6626763,2.3467712,1.8336046,-2.3485496,-2.1385906,2.1756275,0.5119437,-5.457428,-2.4373844
10021.wav,2.3900226757369616,0.048114892,0.09354615442961164,1291.9438151389488,1171.2005878430446,-390.46378,109.121376,-22.068954,48.25888,-16.655815,6.5904512,0.5290414,-9.026862,3.957087,-2.7790186,-0.6495736,-12.501239,2.666091
10022.wav,1.86,0.04573473,0.13090157214506173,1714.6414697103592,1324.3965339111155,-405.30185,62.76201,-9.418581,53.577545,-12.085928,9.049676,-8.856116,-0.49717316,7.388021,-4.757474,0.29605198,-14.706041,5.5696673
10023.wav,2.18,0.049534786,0.3312209109042553,3761.35746137833,2930.6366332002735,-195.31961,49.302624,10.229197,8.220913,2.0471423,4.125653,-3.3724709,-7.1074915,-1.4955018,-2.0652368,-1.6793317,0.5571096,-0.17435971
10024.wav,2.46,0.05281903,0.24904646963443397,3074.488290111142,2393.0540297420157,-295.50937,59.68903,3.8292544,33.617455,-1.5056709,0.7704058,-1.7082913,-1.8151673,2.887019,-0.67899734,-3.1086593,-9.182233,-0.7351525
10025.wav,2.4700226757369617,0.05292374,0.08840172313084112,1279.5569235769892,1129.67646628836,-398.17526,105.38283,-19.380552,48.68404,-5.32607,5.7638154,-2.5579295,-7.0824537,3.0520546,-4.886871,-3.4497378,-9.079417,0.6523603
10026.wav,1.86,0.04447468,0.2957718460648148,3605.884899203394,2694.59238489568,-280.3078,46.55626,2.0731928,15.762872,-2.0495806,-1.8470076,-1.2079273,-1.6045432,1.88717,-0.16584677,-2.3549128,-6.1767,-2.3591824
10027.wav,1.9900226757369615,0.05765925,0.31364689316860467,3658.8328706322354,3076.5877502074013,-167.6447,57.036945,14.013706,2.7303567,-0.08041522,-2.0532682,0.8094835,-2.7830427,-6.0402365,-2.9130363,-0.9740605,-1.0042455,-0.82503104
10028.wav,1.9300226757369614,0.04808902,0.2692987351190476,3445.3515848427496,2676.817236406277,-291.6215,47.32713,10.231481,19.778702,-1.512263,4.0595317,5.00197,0.509755,-0.19608189,0.69003135,-0.9750352,-7.687317,-2.6552157
